timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y,x_OT,y_OT,vx_OT,vy_OT,filtered_vx,filtered_vygateArea
570,-3.21239e-12,1.58208e-38,-1.55877e-06,-3.27827e-12,1.58196e-38,-3.40903e-12,-1.06604e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-6.56605e-05,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
580,-3.21239e-12,1.58208e-38,-1.55877e-06,-3.27827e-12,1.58196e-38,0,-1.06604e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-6.34547e-05,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
590,-3.21239e-12,1.58208e-38,-1.55877e-06,-3.27827e-12,1.58196e-38,-3.40903e-12,-1.06605e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-6.13214e-05,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
600,-3.21239e-12,1.58208e-38,-1.55877e-06,-3.27827e-12,1.58196e-38,0,-1.06605e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-5.92614e-05,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
610,-3.21239e-12,1.58208e-38,-1.55877e-06,-3.27827e-12,1.58196e-38,-3.40903e-12,-1.06605e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-5.70377e-05,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
620,-3.21239e-12,1.58208e-38,-1.55877e-06,-3.27827e-12,1.58196e-38,0,-1.06605e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-5.46712e-05,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
630,-3.21239e-12,1.58208e-38,-1.55877e-06,-3.27827e-12,1.58196e-38,-3.40903e-12,-1.06606e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-4.30414e-05,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
640,-3.21239e-12,1.58208e-38,-1.55877e-06,-3.27827e-12,1.58196e-38,0,-1.06606e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-3.69455e-05,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
650,-3.21239e-12,1.58208e-38,-1.55877e-06,-3.27827e-12,1.58196e-38,-3.40903e-12,-1.06606e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-3.58495e-05,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
660,-3.21239e-12,1.58208e-38,-1.55877e-06,-3.27827e-12,1.58196e-38,0,-1.06606e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-3.48564e-05,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
670,-3.21239e-12,1.58208e-38,-1.55877e-06,-3.27827e-12,1.58196e-38,-3.40903e-12,-1.06607e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-3.38904e-05,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
680,-3.21239e-12,1.58208e-38,-1.55877e-06,-3.27827e-12,1.58196e-38,0,-1.06607e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-3.27511e-05,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
690,-3.21239e-12,1.58208e-38,-1.55877e-06,-3.27827e-12,1.58196e-38,-3.40903e-12,-1.06607e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-3.14567e-05,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
700,-3.21239e-12,1.58208e-38,-1.55877e-06,-3.27827e-12,1.58196e-38,0,-1.06607e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-3.03999e-05,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
