timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y,x_OT,y_OT,vx_OT,vy_OT
520,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.1373e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.00049337,-1.5,nan,0,0,3,0,0,0,0,0,0
530,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.1373e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000478734,-1.5,nan,0,0,3,0,0,0,0,0,0
540,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13731e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000464532,-1.5,nan,0,0,3,0,0,0,0,0,0
550,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13731e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000450744,-1.5,nan,0,0,3,0,0,0,0,0,0
560,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13732e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.00040904,-1.5,nan,0,0,3,0,0,0,0,0,0
570,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13732e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000320418,-1.5,nan,0,0,3,0,0,0,0,0,0
580,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13733e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000293919,-1.5,nan,0,0,3,0,0,0,0,0,0
590,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13734e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.0002852,-1.5,nan,0,0,3,0,0,0,0,0,0
600,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13734e-13,0,0,-2.47535,-0.0318864,-0.122237,0,0,0,0,0,1.52465,-0.0318864,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000276179,-1.5,nan,0,0,3,0,0,0,0,0,0
610,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13735e-13,0,0,-2.47535,-0.0318864,-0.122237,0,0,0,0,0,1.52465,-0.0318864,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000267986,-1.5,nan,0,0,3,0,0,0,0,0,0
620,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13735e-13,0,0,-2.47535,-0.0318864,-0.122237,0,0,0,0,0,1.52465,-0.0318864,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000260032,-1.5,nan,0,0,3,0,0,0,0,0,0
630,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13736e-13,0,0,-2.47535,-0.0318864,-0.122237,0,0,0,0,0,1.52465,-0.0318864,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000252313,-1.5,nan,0,0,3,0,0,0,0,0,0
640,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13736e-13,0,0,-2.47535,-0.0318864,-0.122237,0,0,0,0,0,1.52465,-0.0318864,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000244824,-1.5,nan,0,0,3,0,0,0,0,0,0
650,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13737e-13,0,0,-2.47535,-0.0318864,-0.122237,0,0,0,0,0,1.52465,-0.0318864,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000237558,-1.5,nan,0,0,3,0,0,0,0,0,0
660,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13737e-13,0,0,-2.47535,-0.0318864,-0.122237,0,0,0,0,0,1.52465,-0.0318864,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000230977,-1.5,nan,0,0,3,0,0,0,0,0,0
670,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13738e-13,0,0,-2.47535,-0.0318864,-0.122237,0,0,0,0,0,1.52465,-0.0318864,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000224578,-1.5,nan,0,0,3,0,0,0,0,0,0
680,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13738e-13,0,0,-2.47535,-0.0318864,-0.122237,0,0,0,0,0,1.52465,-0.0318864,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000217916,-1.5,nan,0,0,3,0,0,0,0,0,0
690,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13739e-13,0,0,-2.47535,-0.0318864,-0.122237,0,0,0,0,0,1.52465,-0.0318864,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000211448,-1.5,nan,0,0,3,0,0,0,0,0,0
700,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.1374e-13,0,0,-2.47535,-0.0318864,-0.122237,0,0,0,0,0,1.52465,-0.0318864,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000205172,-1.5,nan,0,0,3,0,0,0,0,0,0
710,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.1374e-13,0,0,-2.47535,-0.0318864,-0.122237,0,0,0,0,0,1.52465,-0.0318864,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000198682,-1.5,nan,0,0,3,0,0,0,0,0,0
720,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13741e-13,0,0,-2.47535,-0.0318864,-0.122237,0,0,0,0,0,1.52465,-0.0318864,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000192788,-1.5,nan,0,0,3,0,0,0,0,0,0
730,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13741e-13,0,0,-2.47535,-0.0318864,-0.122237,0,0,0,0,0,1.52465,-0.0318864,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000187066,-1.5,nan,0,0,3,0,0,0,0,0,0
740,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13742e-13,0,0,-2.47535,-0.0318864,-0.122237,0,0,0,0,0,1.52465,-0.0318864,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000181514,-1.5,nan,0,0,3,0,0,0,0,0,0
